tahun,nama_kabkota,jenis_sekolah,jumlah_sekolah,jumlah_guru,jumlah_murid,jumlah_kelas,id
2011,Kepulauan Seribu,Negeri,14,209,2314,100,0
2011,Kepulauan Seribu,Swasta,0,0,0,0,1
2011,Jakarta Selatan,Negeri,527,7029,155314,3573,2
2011,Jakarta Selatan,Swasta,126,2462,35951,1428,3
2011,Jakarta Timur,Negeri,674,9283,219501,5001,4
2011,Jakarta Timur,Swasta,168,3040,46826,1712,5
2011,Jakarta Pusat,Negeri,285,3397,69921,1852,6
2011,Jakarta Pusat,Swasta,109,1500,21007,774,7
2011,Jakarta Barat,Negeri,456,5869,145919,3028,8
2011,Jakarta Barat,Swasta,200,3167,49862,1974,9
2011,Jakarta Utara,Negeri,270,3737,93641,1974,10
2011,Jakarta Utara,Swasta,109,2434,43612,1389,11
