"kabkota","kecamatan","negeri","swasta","id"
"Jakarta Pusat","Tanah Abang","419","142","0"
"Jakarta Pusat","Menteng","222","203","1"
"Jakarta Pusat","Senen","385","159","2"
"Jakarta Pusat","Johar Baru","384","60","3"
"Jakarta Pusat","Cempaka Putih","315","105","4"
"Jakarta Pusat","Kemayoran","856","319","5"
"Jakarta Pusat","Sawah Besar","263","266","6"
"Jakarta Pusat","Gambir","323","180","7"
"Jakarta Utara","Penjaringan","485","657","8"
"Jakarta Utara","Pademangan","339","157","9"
"Jakarta Utara","Tanjung Priok","765","721","10"
"Jakarta Utara","Koja","925","275","11"
"Jakarta Utara","Kelapa Gading","229","552","12"
"Jakarta Utara","Cilincing","875","436","13"
"Jakarta Barat","Kembangan","813","614","14"
"Jakarta Barat","Kebon Jeruk","852","498","15"
"Jakarta Barat","Palmerah","683","141","16"
"Jakarta Barat","Grogol Petamburan","510","386","17"
"Jakarta Barat","Tambora","408","422","18"
"Jakarta Barat","Taman Sari","288","211","19"
"Jakarta Barat","Cengkareng","1,192","614","20"
"Jakarta Barat","Kalideres","980","683","21"
"Jakarta Selatan","Jagakarsa","966","343","22"
"Jakarta Selatan","Pasar Minggu","732","358","23"
"Jakarta Selatan","Cilandak","652","527","24"
"Jakarta Selatan","Pesanggrahan","781","249","25"
"Jakarta Selatan","Kebayoran Lama","979","452","26"
"Jakarta Selatan","Kebayoran Baru","474","330","27"
"Jakarta Selatan","Mampang Prapatan","372","145","28"
"Jakarta Selatan","Pancoran","484","42","29"
"Jakarta Selatan","Tebet","750","332","30"
"Jakarta Selatan","Setia Budi","378","175","31"
"Jakarta Timur","Pasar Rebo","825","239","32"
"Jakarta Timur","Ciracas","914","223","33"
"Jakarta Timur","Cipayung","793","227","34"
"Jakarta Timur","Makasar","686","273","35"
"Jakarta Timur","Kramat Jati","881","326","36"
"Jakarta Timur","Jatinegara","870","306","37"
"Jakarta Timur","Duren Sawit","1,365","575","38"
"Jakarta Timur","Cakung","1,275","303","39"
"Jakarta Timur","Pulo Gadung","830","493","40"
"Jakarta Timur","Matraman","548","175","41"
"Kepulauan Seribu","Kepulauan Seribu Selatan","94","0","42"
"Kepulauan Seribu","Kepulauan Seribu Utara","113","0","43"
