"kabkota","kecamatan","negeri","swasta","id"
"Jakarta Pusat","Tanah Abang","33","12","0"
"Jakarta Pusat","Menteng","17","13","1"
"Jakarta Pusat","Senen","39","12","2"
"Jakarta Pusat","Johar Baru","35","5","3"
"Jakarta Pusat","Cempaka Putih","25","9","4"
"Jakarta Pusat","Kemayoran","70","25","5"
"Jakarta Pusat","Sawah Besar","25","19","6"
"Jakarta Pusat","Gambir","32","9","7"
"Jakarta Utara","Penjaringan","39","34","8"
"Jakarta Utara","Pademangan","27","11","9"
"Jakarta Utara","Tanjung Priok","55","50","10"
"Jakarta Utara","Koja","71","22","11"
"Jakarta Utara","Kelapa Gading","17","27","12"
"Jakarta Utara","Cilincing","60","38","13"
"Jakarta Barat","Kembangan","57","27","14"
"Jakarta Barat","Kebon Jeruk","68","25","15"
"Jakarta Barat","Palmerah","56","10","16"
"Jakarta Barat","Grogol Petamburan","45","28","17"
"Jakarta Barat","Tambora","35","34","18"
"Jakarta Barat","Taman Sari","30","20","19"
"Jakarta Barat","Cengkareng","92","42","20"
"Jakarta Barat","Kalideres","73","36","21"
"Jakarta Selatan","Jagakarsa","62","21","22"
"Jakarta Selatan","Pasar Minggu","65","19","23"
"Jakarta Selatan","Cilandak","46","23","24"
"Jakarta Selatan","Pesanggrahan","48","14","25"
"Jakarta Selatan","Kebayoran Lama","82","22","26"
"Jakarta Selatan","Kebayoran Baru","42","17","27"
"Jakarta Selatan","Mampang Prapatan","36","7","28"
"Jakarta Selatan","Pancoran","44","3","29"
"Jakarta Selatan","Tebet","61","17","30"
"Jakarta Selatan","Setia Budi","35","11","31"
"Jakarta Timur","Pasar Rebo","59","8","32"
"Jakarta Timur","Ciracas","55","10","33"
"Jakarta Timur","Cipayung","55","13","34"
"Jakarta Timur","Makasar","48","19","35"
"Jakarta Timur","Kramat Jati","75","13","36"
"Jakarta Timur","Jatinegara","74","24","37"
"Jakarta Timur","Duren Sawit","98","31","38"
"Jakarta Timur","Cakung","88","22","39"
"Jakarta Timur","Pulo Gadung","66","26","40"
"Jakarta Timur","Matraman","54","11","41"
"Kepulauan Seribu","Kepulauan Seribu Selatan","7","0","42"
"Kepulauan Seribu","Kepulauan Seribu Utara","7","0","43"
