"nama_sekolah","npsn","bp","status","pd","guru","kecamatan","wilayah","id"
"SD Negeri Bukit Duri 03","20103163","SD","Negeri","644","22","Tebet","Jakarta Selatan","0"
"SD Negeri Bukit Duri 05 Pagi","20105821","SD","Negeri","645","24","Tebet","Jakarta Selatan","1"
"SD Negeri Bukit Duri 09 Pagi","20103155","SD","Negeri","263","11","Tebet","Jakarta Selatan","2"
"SD Negeri Bukit Duri 10 Petang","20103154","SD","Negeri","220","15","Tebet","Jakarta Selatan","3"
"SD Negeri Bukit Duri 11 Pagi","20103153","SD","Negeri","216","10","Tebet","Jakarta Selatan","4"
"SD Negeri Kebon Baru 03 Pagi","20102300","SD","Negeri","355","21","Tebet","Jakarta Selatan","5"
"SD Negeri Kebon Baru 07","20102313","SD","Negeri","411","22","Tebet","Jakarta Selatan","6"
"SD Negeri Kebon Baru 09 Pagi","20102314","SD","Negeri","858","39","Tebet","Jakarta Selatan","7"
"SD Negeri Manggarai 01 Pagi","20102283","SD","Negeri","335","16","Tebet","Jakarta Selatan","8"
"SD Negeri Manggarai 17 Pagi","20106048","SD","Negeri","159","10","Tebet","Jakarta Selatan","9"
"SD Negeri Manggarai 19 Pagi","20106049","SD","Negeri","150","10","Tebet","Jakarta Selatan","10"
"SD Negeri Menteng Dalam 01 Pagi","20102372","SD","Negeri","571","30","Tebet","Jakarta Selatan","11"
"SD Negeri Menteng Dalam 05 Pagi","20106063","SD","Negeri","284","14","Tebet","Jakarta Selatan","12"
"SD Negeri Menteng Dalam 07 Pagi","20102387","SD","Negeri","621","30","Tebet","Jakarta Selatan","13"
"SD Negeri Menteng Dalam 11 Pagi","20106066","SD","Negeri","273","12","Tebet","Jakarta Selatan","14"
"SD Negeri Tebet Barat 01 Pagi","20102251","SD","Negeri","266","18","Tebet","Jakarta Selatan","15"
"SD Negeri Tebet Barat 08 Pagi","20102260","SD","Negeri","269","16","Tebet","Jakarta Selatan","16"
"SD Negeri Tebet Timur 11 Pagi","20102253","SD","Negeri","112","8","Tebet","Jakarta Selatan","17"
"SD Negeri Tebet Timur 15 Pagi","20106214","SD","Negeri","252","14","Tebet","Jakarta Selatan","18"
"SD Negeri Tebet Timur 17 Pagi","20102233","SD","Negeri","113","10","Tebet","Jakarta Selatan","19"
"SD Negeri Tebet Timur 18 Pagi","20106216","SD","Negeri","232","10","Tebet","Jakarta Selatan","20"
"SD Negeri Tebet Timur 19 Pagi","20102205","SD","Negeri","201","11","Tebet","Jakarta Selatan","21"
"SDN Bukit Duri 01 Pagi","20103161","SD","Negeri","270","10","Tebet","Jakarta Selatan","22"
"SDN Kebon Baru 05","20102299","SD","Negeri","329","16","Tebet","Jakarta Selatan","23"
"SDN Kebon Baru 11","20102326","SD","Negeri","292","14","Tebet","Jakarta Selatan","24"
"SDN Manggarai 03","20102295","SD","Negeri","291","14","Tebet","Jakarta Selatan","25"
"SDN Manggarai 05","20106040","SD","Negeri","1055","45","Tebet","Jakarta Selatan","26"
"SDN Manggarai 09 Pg.","20102289","SD","Negeri","239","11","Tebet","Jakarta Selatan","27"
"SDN Manggarai 11 Pg.","20106045","SD","Negeri","177","8","Tebet","Jakarta Selatan","28"
"SDN Manggarai 13 Pg.","20102286","SD","Negeri","91","7","Tebet","Jakarta Selatan","29"
"SDN Manggarai 15 Pagi","20106047","SD","Negeri","183","10","Tebet","Jakarta Selatan","30"
"SDN Manggarai Selatan 01","20106050","SD","Negeri","312","14","Tebet","Jakarta Selatan","31"
"SDN Manggarai Selatan 03","20106052","SD","Negeri","299","18","Tebet","Jakarta Selatan","32"
"SDN Tebet Barat 03 Pagi","20102264","SD","Negeri","110","9","Tebet","Jakarta Selatan","33"
"SDN Tebet Barat 05","20102263","SD","Negeri","367","18","Tebet","Jakarta Selatan","34"
"SDN Tebet Timur 01","20102259","SD","Negeri","238","20","Tebet","Jakarta Selatan","35"
