kabkota,kecamatan,negeri,swasta,id
Jakarta Pusat,Tanah Abang,"8,051","1,911",0
Jakarta Pusat,Menteng,"3,571","2,374",1
Jakarta Pusat,Senen,"7,301","1,732",2
Jakarta Pusat,Johar Baru,"8,581",811,3
Jakarta Pusat,Cempaka Putih,"5,315","1,225",4
Jakarta Pusat,Kemayoran,"18,432","4,115",5
Jakarta Pusat,Sawah Besar,"5,627","3,795",6
Jakarta Pusat,Gambir,"6,361","2,832",7
Jakarta Utara,Penjaringan,"13,238","8,595",8
Jakarta Utara,Pademangan,"8,866","2,890",9
Jakarta Utara,Tanjung Priok,"18,429","11,655",10
Jakarta Utara,Koja,"23,632","4,792",11
Jakarta Utara,Kelapa Gading,"4,385","7,339",12
Jakarta Utara,Cilincing,"21,717","8,718",13
Jakarta Barat,Kembangan,"20,031","6,434",14
Jakarta Barat,Kebon Jeruk,"18,355","7,436",15
Jakarta Barat,Palmerah,"14,184","2,436",16
Jakarta Barat,Grogol Petamburan,"10,541","5,207",17
Jakarta Barat,Tambora,"9,123","6,010",18
Jakarta Barat,Taman Sari,"6,369","2,469",19
Jakarta Barat,Cengkareng,"32,535","9,657",20
Jakarta Barat,Kalideres,"25,739","8,357",21
Jakarta Selatan,Jagakarsa,"22,628","4,643",22
Jakarta Selatan,Pasar Minggu,"16,163","5,696",23
Jakarta Selatan,Cilandak,"13,662","6,151",24
Jakarta Selatan,Pesanggrahan,"18,093","4,246",25
Jakarta Selatan,Kebayoran Lama,"20,453","5,741",26
Jakarta Selatan,Kebayoran Baru,"8,790","4,070",27
Jakarta Selatan,Mampang Prapatan,"7,601","1,115",28
Jakarta Selatan,Pancoran,"9,266",500,29
Jakarta Selatan,Tebet,"13,405","3,067",30
Jakarta Selatan,Setia Budi,"7,451","1,907",31
Jakarta Timur,Pasar Rebo,"18,717","4,162",32
Jakarta Timur,Ciracas,"20,674","3,118",33
Jakarta Timur,Cipayung,"19,775","3,220",34
Jakarta Timur,Makasar,"15,338","5,332",35
Jakarta Timur,Kramat Jati,"18,909","4,327",36
Jakarta Timur,Jatinegara,"18,329","3,838",37
Jakarta Timur,Duren Sawit,"31,042","7,444",38
Jakarta Timur,Cakung,"31,774","5,415",39
Jakarta Timur,Pulo Gadung,"17,240","7,174",40
Jakarta Timur,Matraman,"10,610","1,909",41
Kepulauan Seribu,Kepulauan Seribu Selatan,356,0,42
Kepulauan Seribu,Kepulauan Seribu Utara,"1,447",0,43
