tahun,nama_kabkota,jenis_sekolah,kelas,jumlah,id
2011,Kepulauan Seribu,Negeri,I,4,0
2011,Kepulauan Seribu,Negeri,II,0,1
2011,Kepulauan Seribu,Negeri,III,1,2
2011,Kepulauan Seribu,Negeri,IV,1,3
2011,Kepulauan Seribu,Negeri,V,2,4
2011,Kepulauan Seribu,Negeri,VI,0,5
2011,Kepulauan Seribu,Swasta,I,0,6
2011,Kepulauan Seribu,Swasta,II,0,7
2011,Kepulauan Seribu,Swasta,III,0,8
2011,Kepulauan Seribu,Swasta,IV,0,9
2011,Kepulauan Seribu,Swasta,V,0,10
2011,Kepulauan Seribu,Swasta,VI,0,11
2011,Jakarta Selatan,Negeri,I,10,12
2011,Jakarta Selatan,Negeri,II,5,13
2011,Jakarta Selatan,Negeri,III,2,14
2011,Jakarta Selatan,Negeri,IV,11,15
2011,Jakarta Selatan,Negeri,V,7,16
2011,Jakarta Selatan,Negeri,VI,4,17
2011,Jakarta Selatan,Swasta,I,0,18
2011,Jakarta Selatan,Swasta,II,2,19
2011,Jakarta Selatan,Swasta,III,0,20
2011,Jakarta Selatan,Swasta,IV,1,21
2011,Jakarta Selatan,Swasta,V,4,22
2011,Jakarta Selatan,Swasta,VI,1,23
2011,Jakarta Timur,Negeri,I,14,24
2011,Jakarta Timur,Negeri,II,5,25
2011,Jakarta Timur,Negeri,III,11,26
2011,Jakarta Timur,Negeri,IV,11,27
2011,Jakarta Timur,Negeri,V,7,28
2011,Jakarta Timur,Negeri,VI,1,29
2011,Jakarta Timur,Swasta,I,12,30
2011,Jakarta Timur,Swasta,II,3,31
2011,Jakarta Timur,Swasta,III,1,32
2011,Jakarta Timur,Swasta,IV,2,33
2011,Jakarta Timur,Swasta,V,2,34
2011,Jakarta Timur,Swasta,VI,0,35
2011,Jakarta Pusat,Negeri,I,0,36
2011,Jakarta Pusat,Negeri,II,2,37
2011,Jakarta Pusat,Negeri,III,1,38
2011,Jakarta Pusat,Negeri,IV,4,39
2011,Jakarta Pusat,Negeri,V,3,40
2011,Jakarta Pusat,Negeri,VI,3,41
2011,Jakarta Pusat,Swasta,I,1,42
2011,Jakarta Pusat,Swasta,II,0,43
2011,Jakarta Pusat,Swasta,III,0,44
2011,Jakarta Pusat,Swasta,IV,2,45
2011,Jakarta Pusat,Swasta,V,0,46
2011,Jakarta Pusat,Swasta,VI,0,47
2011,Jakarta Barat,Negeri,I,29,48
2011,Jakarta Barat,Negeri,II,2,49
2011,Jakarta Barat,Negeri,III,13,50
2011,Jakarta Barat,Negeri,IV,23,51
2011,Jakarta Barat,Negeri,V,17,52
2011,Jakarta Barat,Negeri,VI,8,53
2011,Jakarta Barat,Swasta,I,3,54
2011,Jakarta Barat,Swasta,II,0,55
2011,Jakarta Barat,Swasta,III,1,56
2011,Jakarta Barat,Swasta,IV,3,57
2011,Jakarta Barat,Swasta,V,8,58
2011,Jakarta Barat,Swasta,VI,0,59
2011,Jakarta Utara,Negeri,I,22,60
2011,Jakarta Utara,Negeri,II,43,61
2011,Jakarta Utara,Negeri,III,34,62
2011,Jakarta Utara,Negeri,IV,19,63
2011,Jakarta Utara,Negeri,V,33,64
2011,Jakarta Utara,Negeri,VI,21,65
2011,Jakarta Utara,Swasta,I,18,66
2011,Jakarta Utara,Swasta,II,23,67
2011,Jakarta Utara,Swasta,III,7,68
2011,Jakarta Utara,Swasta,IV,9,69
2011,Jakarta Utara,Swasta,V,4,70
2011,Jakarta Utara,Swasta,VI,14,71
