tahun,nama_kota_administrasi,jenis_sekolah,kelas,jumlah,id
2013 s.d 2014,Kepulauan Seribu,Negeri,I,1.0,0
2013 s.d 2014,Kepulauan Seribu,Negeri,II,0.0,1
2013 s.d 2014,Kepulauan Seribu,Negeri,III,0.0,2
2013 s.d 2014,Kepulauan Seribu,Negeri,IV,0.0,3
2013 s.d 2014,Kepulauan Seribu,Negeri,V,1.0,4
2013 s.d 2014,Kepulauan Seribu,Negeri,VI,0.0,5
2013 s.d 2014,Kepulauan Seribu,Swasta,I,0.0,6
2013 s.d 2014,Kepulauan Seribu,Swasta,II,0.0,7
2013 s.d 2014,Kepulauan Seribu,Swasta,III,0.0,8
2013 s.d 2014,Kepulauan Seribu,Swasta,IV,0.0,9
2013 s.d 2014,Kepulauan Seribu,Swasta,V,0.0,10
2013 s.d 2014,Kepulauan Seribu,Swasta,VI,0.0,11
2013 s.d 2014,Jakarta Selatan,Negeri,I,5.0,12
2013 s.d 2014,Jakarta Selatan,Negeri,II,2.0,13
2013 s.d 2014,Jakarta Selatan,Negeri,III,3.0,14
2013 s.d 2014,Jakarta Selatan,Negeri,IV,8.0,15
2013 s.d 2014,Jakarta Selatan,Negeri,V,7.0,16
2013 s.d 2014,Jakarta Selatan,Negeri,VI,3.0,17
2013 s.d 2014,Jakarta Selatan,Swasta,I,4.0,18
2013 s.d 2014,Jakarta Selatan,Swasta,II,1.0,19
2013 s.d 2014,Jakarta Selatan,Swasta,III,3.0,20
2013 s.d 2014,Jakarta Selatan,Swasta,IV,2.0,21
2013 s.d 2014,Jakarta Selatan,Swasta,V,1.0,22
2013 s.d 2014,Jakarta Selatan,Swasta,VI,0.0,23
2013 s.d 2014,Jakarta Timur,Negeri,I,4.0,24
2013 s.d 2014,Jakarta Timur,Negeri,II,8.0,25
2013 s.d 2014,Jakarta Timur,Negeri,III,2.0,26
2013 s.d 2014,Jakarta Timur,Negeri,IV,12.0,27
2013 s.d 2014,Jakarta Timur,Negeri,V,17.0,28
2013 s.d 2014,Jakarta Timur,Negeri,VI,3.0,29
2013 s.d 2014,Jakarta Timur,Swasta,I,0.0,30
2013 s.d 2014,Jakarta Timur,Swasta,II,1.0,31
2013 s.d 2014,Jakarta Timur,Swasta,III,0.0,32
2013 s.d 2014,Jakarta Timur,Swasta,IV,1.0,33
2013 s.d 2014,Jakarta Timur,Swasta,V,0.0,34
2013 s.d 2014,Jakarta Timur,Swasta,VI,0.0,35
2013 s.d 2014,Jakarta Pusat,Negeri,I,9.0,36
2013 s.d 2014,Jakarta Pusat,Negeri,II,5.0,37
2013 s.d 2014,Jakarta Pusat,Negeri,III,4.0,38
2013 s.d 2014,Jakarta Pusat,Negeri,IV,1.0,39
2013 s.d 2014,Jakarta Pusat,Negeri,V,6.0,40
2013 s.d 2014,Jakarta Pusat,Negeri,VI,3.0,41
2013 s.d 2014,Jakarta Pusat,Swasta,I,1.0,42
2013 s.d 2014,Jakarta Pusat,Swasta,II,0.0,43
2013 s.d 2014,Jakarta Pusat,Swasta,III,0.0,44
2013 s.d 2014,Jakarta Pusat,Swasta,IV,0.0,45
2013 s.d 2014,Jakarta Pusat,Swasta,V,0.0,46
2013 s.d 2014,Jakarta Pusat,Swasta,VI,0.0,47
2013 s.d 2014,Jakarta Barat,Negeri,I,11.0,48
2013 s.d 2014,Jakarta Barat,Negeri,II,7.0,49
2013 s.d 2014,Jakarta Barat,Negeri,III,12.0,50
2013 s.d 2014,Jakarta Barat,Negeri,IV,15.0,51
2013 s.d 2014,Jakarta Barat,Negeri,V,11.0,52
2013 s.d 2014,Jakarta Barat,Negeri,VI,8.0,53
2013 s.d 2014,Jakarta Barat,Swasta,I,4.0,54
2013 s.d 2014,Jakarta Barat,Swasta,II,0.0,55
2013 s.d 2014,Jakarta Barat,Swasta,III,2.0,56
2013 s.d 2014,Jakarta Barat,Swasta,IV,4.0,57
2013 s.d 2014,Jakarta Barat,Swasta,V,0.0,58
2013 s.d 2014,Jakarta Barat,Swasta,VI,2.0,59
2013 s.d 2014,Jakarta Utara,Negeri,I,1.0,60
2013 s.d 2014,Jakarta Utara,Negeri,II,2.0,61
2013 s.d 2014,Jakarta Utara,Negeri,III,4.0,62
2013 s.d 2014,Jakarta Utara,Negeri,IV,4.0,63
2013 s.d 2014,Jakarta Utara,Negeri,V,4.0,64
2013 s.d 2014,Jakarta Utara,Negeri,VI,1.0,65
2013 s.d 2014,Jakarta Utara,Swasta,I,1.0,66
2013 s.d 2014,Jakarta Utara,Swasta,II,2.0,67
2013 s.d 2014,Jakarta Utara,Swasta,III,0.0,68
2013 s.d 2014,Jakarta Utara,Swasta,IV,2.0,69
2013 s.d 2014,Jakarta Utara,Swasta,V,5.0,70
2013 s.d 2014,Jakarta Utara,Swasta,VI,1.0,71
