"tahun","nama_kabkota","jenis_sekolah","jumlah_sekolah","jumlah_guru","jumlah_murid","jumlah_kelas","id"
"2011","Kepulauan Seribu","Negeri","1","33","327","12","0"
"2011","Kepulauan Seribu","Swasta","0","0","0","0","1"
"2011","Jakarta Selatan","Negeri","17","793","10448","279","2"
"2011","Jakarta Selatan","Swasta","118","2969","36830","1153","3"
"2011","Jakarta Timur","Negeri","13","877","10124","217","4"
"2011","Jakarta Timur","Swasta","166","4398","56717","1573","5"
"2011","Jakarta Pusat","Negeri","14","631","8766","228","6"
"2011","Jakarta Pusat","Swasta","58","1533","16291","482","7"
"2011","Jakarta Barat","Negeri","9","407","6223","178","8"
"2011","Jakarta Barat","Swasta","103","2627","34794","934","9"
"2011","Jakarta Utara","Negeri","8","438","6460","149","10"
"2011","Jakarta Utara","Swasta","67","1594","16585","574","11"
