"tahun","nama_kabkota","jenis_sekolah","kelas","jumlah","id"
"2011","Kepulauan Seribu","Negeri","I","0","0"
"2011","Kepulauan Seribu","Negeri","II","0","1"
"2011","Kepulauan Seribu","Negeri","III","0","2"
"2011","Kepulauan Seribu","Swasta","I","0","3"
"2011","Kepulauan Seribu","Swasta","II","0","4"
"2011","Kepulauan Seribu","Swasta","III","0","5"
"2011","Jakarta Selatan","Negeri","I","41","6"
"2011","Jakarta Selatan","Negeri","II","8","7"
"2011","Jakarta Selatan","Negeri","III","9","8"
"2011","Jakarta Selatan","Swasta","I","299","9"
"2011","Jakarta Selatan","Swasta","II","266","10"
"2011","Jakarta Selatan","Swasta","III","123","11"
"2011","Jakarta Timur","Negeri","I","7","12"
"2011","Jakarta Timur","Negeri","II","9","13"
"2011","Jakarta Timur","Negeri","III","0","14"
"2011","Jakarta Timur","Swasta","I","403","15"
"2011","Jakarta Timur","Swasta","II","430","16"
"2011","Jakarta Timur","Swasta","III","212","17"
"2011","Jakarta Pusat","Negeri","I","63","18"
"2011","Jakarta Pusat","Negeri","II","29","19"
"2011","Jakarta Pusat","Negeri","III","4","20"
"2011","Jakarta Pusat","Swasta","I","50","21"
"2011","Jakarta Pusat","Swasta","II","49","22"
"2011","Jakarta Pusat","Swasta","III","19","23"
"2011","Jakarta Barat","Negeri","I","29","24"
"2011","Jakarta Barat","Negeri","II","11","25"
"2011","Jakarta Barat","Negeri","III","12","26"
"2011","Jakarta Barat","Swasta","I","138","27"
"2011","Jakarta Barat","Swasta","II","188","28"
"2011","Jakarta Barat","Swasta","III","55","29"
"2011","Jakarta Utara","Negeri","I","19","30"
"2011","Jakarta Utara","Negeri","II","7","31"
"2011","Jakarta Utara","Negeri","III","7","32"
"2011","Jakarta Utara","Swasta","I","166","33"
"2011","Jakarta Utara","Swasta","II","78","34"
"2011","Jakarta Utara","Swasta","III","30","35"
