"tahun","nama_kabkota","jenis_sekolah","jumlah_sekolah","jumlah_guru","jumlah_murid","jumlah_kelas","id"
"2011","Kepulauan Seribu","Negeri","1","32","412","12","0"
"2011","Kepulauan Seribu","Swasta","0","0","0","0","1"
"2011","Jakarta Selatan","Negeri","29","1695","23706","639","2"
"2011","Jakarta Selatan","Swasta","70","1740","15939","647","3"
"2011","Jakarta Timur","Negeri","40","2432","33256","847","4"
"2011","Jakarta Timur","Swasta","91","2157","18227","674","5"
"2011","Jakarta Pusat","Negeri","13","713","8761","244","6"
"2011","Jakarta Pusat","Swasta","49","1174","9843","374","7"
"2011","Jakarta Barat","Negeri","17","920","12426","311","8"
"2011","Jakarta Barat","Swasta","93","2018","17222","762","9"
"2011","Jakarta Utara","Negeri","17","691","11455","345","10"
"2011","Jakarta Utara","Swasta","66","1323","10153","477","11"
