"tahun","nama_kota_administrasi","jenis_sekolah","jumlah_sekolah","jumlah_guru","jumlah_murid","jumlah_ruang_kelas","id"
"2013 s.d 2014","Kepulauan Seribu","Negeri","1.0","31.0","430.0","12.0","0"
"2013 s.d 2014","Kepulauan Seribu","Swasta","-","-","-","-","1"
"2013 s.d 2014","Jakarta Selatan","Negeri","33.0","1598.0","21614.0","658.0","2"
"2013 s.d 2014","Jakarta Selatan","Swasta","66.0","1531.0","14533.0","669.0","3"
"2013 s.d 2014","Jakarta Timur","Negeri","40.0","2217.0","32417.0","877.0","4"
"2013 s.d 2014","Jakarta Timur","Swasta","83.0","1796.0","16155.0","680.0","5"
"2013 s.d 2014","Jakarta Pusat","Negeri","13.0","604.0","8761.0","243.0","6"
"2013 s.d 2014","Jakarta Pusat","Swasta","48.0","1006.0","8865.0","392.0","7"
"2013 s.d 2014","Jakarta Barat","Negeri","18.0","825.0","9825.0","335.0","8"
"2013 s.d 2014","Jakarta Barat","Swasta","98.0","1850.0","13069.0","812.0","9"
"2013 s.d 2014","Jakarta Utara","Negeri","17.0","768.0","8444.0","353.0","10"
"2013 s.d 2014","Jakarta Utara","Swasta","63.0","1283.0","8853.0","503.0","11"
