tahun,nama_kabkota,jenis_sekolah,kelas,jumlah
2011,Kepulauan Seribu,Negeri,I,0
2011,Kepulauan Seribu,Negeri,II,0
2011,Kepulauan Seribu,Negeri,III,0
2011,Kepulauan Seribu,Swasta,I,0
2011,Kepulauan Seribu,Swasta,II,0
2011,Kepulauan Seribu,Swasta,III,0
2011,Jakarta Selatan,Negeri,I,26
2011,Jakarta Selatan,Negeri,II,35
2011,Jakarta Selatan,Negeri,III,35
2011,Jakarta Selatan,Swasta,I,31
2011,Jakarta Selatan,Swasta,II,9
2011,Jakarta Selatan,Swasta,III,6
2011,Jakarta Timur,Negeri,I,34
2011,Jakarta Timur,Negeri,II,1
2011,Jakarta Timur,Negeri,III,0
2011,Jakarta Timur,Swasta,I,15
2011,Jakarta Timur,Swasta,II,15
2011,Jakarta Timur,Swasta,III,5
2011,Jakarta Pusat,Negeri,I,4
2011,Jakarta Pusat,Negeri,II,4
2011,Jakarta Pusat,Negeri,III,0
2011,Jakarta Pusat,Swasta,I,17
2011,Jakarta Pusat,Swasta,II,5
2011,Jakarta Pusat,Swasta,III,1
2011,Jakarta Barat,Negeri,I,4
2011,Jakarta Barat,Negeri,II,0
2011,Jakarta Barat,Negeri,III,0
2011,Jakarta Barat,Swasta,I,27
2011,Jakarta Barat,Swasta,II,23
2011,Jakarta Barat,Swasta,III,7
2011,Jakarta Utara,Negeri,I,21
2011,Jakarta Utara,Negeri,II,7
2011,Jakarta Utara,Negeri,III,6
2011,Jakarta Utara,Swasta,I,2
2011,Jakarta Utara,Swasta,II,0
2011,Jakarta Utara,Swasta,III,2
