tahun,nama_kota_administrasi,jenis_sekolah,kelas,jumlah
2013 s.d 2014,Kepulauan Seribu ,Negeri,I ,0.0
2013 s.d 2014,Kepulauan Seribu ,Negeri,II ,0.0
2013 s.d 2014,Kepulauan Seribu ,Negeri,III ,0.0
2013 s.d 2014,Kepulauan Seribu ,Swasta,I ,0.0
2013 s.d 2014,Kepulauan Seribu ,Swasta,II ,0.0
2013 s.d 2014,Kepulauan Seribu ,Swasta,III ,0.0
2013 s.d 2014,Jakarta Selatan ,Negeri,I ,31.0
2013 s.d 2014,Jakarta Selatan ,Negeri,II ,14.0
2013 s.d 2014,Jakarta Selatan ,Negeri,III ,30.0
2013 s.d 2014,Jakarta Selatan ,Swasta,I ,14.0
2013 s.d 2014,Jakarta Selatan ,Swasta,II ,3.0
2013 s.d 2014,Jakarta Selatan ,Swasta,III ,3.0
2013 s.d 2014,Jakarta Timur ,Negeri,I ,5.0
2013 s.d 2014,Jakarta Timur ,Negeri,II ,0.0
2013 s.d 2014,Jakarta Timur ,Negeri,III ,0.0
2013 s.d 2014,Jakarta Timur ,Swasta,I ,0.0
2013 s.d 2014,Jakarta Timur ,Swasta,II ,4.0
2013 s.d 2014,Jakarta Timur ,Swasta,III ,1.0
2013 s.d 2014,Jakarta Pusat ,Negeri,I ,3.0
2013 s.d 2014,Jakarta Pusat ,Negeri,II ,2.0
2013 s.d 2014,Jakarta Pusat ,Negeri,III ,0.0
2013 s.d 2014,Jakarta Pusat ,Swasta,I ,3.0
2013 s.d 2014,Jakarta Pusat ,Swasta,II ,0.0
2013 s.d 2014,Jakarta Pusat ,Swasta,III ,0.0
2013 s.d 2014,Jakarta Barat ,Negeri,I ,7.0
2013 s.d 2014,Jakarta Barat ,Negeri,II ,2.0
2013 s.d 2014,Jakarta Barat ,Negeri,III ,0.0
2013 s.d 2014,Jakarta Barat ,Swasta,I ,19.0
2013 s.d 2014,Jakarta Barat ,Swasta,II ,6.0
2013 s.d 2014,Jakarta Barat ,Swasta,III ,4.0
2013 s.d 2014,Jakarta Utara ,Negeri,I ,0.0
2013 s.d 2014,Jakarta Utara ,Negeri,II ,2.0
2013 s.d 2014,Jakarta Utara ,Negeri,III ,0.0
2013 s.d 2014,Jakarta Utara ,Swasta,I ,6.0
2013 s.d 2014,Jakarta Utara ,Swasta,II ,3.0
2013 s.d 2014,Jakarta Utara ,Swasta,III ,2.0
