"tahun","tingkat_sekolah","jenis_sekolah","jumlah_sekolah","jumlah_guru","jumlah_murid","jumlah_kelas","id"
"2011","TK","Negeri","9","58","521","35","0"
"2011","TK","Swasta","1781","8646","92775","5179","1"
"2011","SD","Negeri","2223","27145","653097","15528","2"
"2011","SD","Swasta","775","10340","175184","7177","3"
"2011","SLTP","Negeri","288","13012","221756","4673","4"
"2011","SLTP","Swasta","650","11235","117699","4997","5"
"2011","SMU","Negeri","117","6989","92734","2398","6"
"2011","SMU","Swasta","382","9473","90532","2934","7"
"2011","SMK","Negeri","63","3254","42348","45589","8"
"2011","SMK","Swasta","517","12789","161217","174850","9"
