"tahun","nama_kabkota","jenis_sekolah","jumlah_sekolah","jumlah_guru","jumlah_murid","jumlah_kelas","id"
"2011","Kepulauan Seribu","Negeri","5","81","1040","35","0"
"2011","Kepulauan Seribu","Swasta","0","0","0","0","1"
"2011","Jakarta Selatan","Negeri","65","2848","51368","1164","2"
"2011","Jakarta Selatan","Swasta","124","2320","33885","1158","3"
"2011","Jakarta Timur","Negeri","95","4332","75527","1605","4"
"2011","Jakarta Timur","Swasta","149","2625","33174","1168","5"
"2011","Jakarta Pusat","Negeri","36","1315","22806","613","6"
"2011","Jakarta Pusat","Swasta","81","1411","16557","625","7"
"2011","Jakarta Barat","Negeri","50","2024","38529","781","8"
"2011","Jakarta Barat","Swasta","181","2940","35988","1423","9"
"2011","Jakarta Utara","Negeri","37","1622","30658","608","10"
"2011","Jakarta Utara","Swasta","135","2263","26324","949","11"
