"tahun","nama_kota_administrasi","jenis_sekolah","jumlah_sekolah","jumlah_guru","jumlah_murid","jumlah_ruang_kelas","id"
"2013 s.d 2014","Kepulauan Seribu","Negeri","7.0","97.0","1008.0","37.0","0"
"2013 s.d 2014","Kepulauan Seribu","Swasta","0.0","0.0","0.0","0.0","1"
"2013 s.d 2014","Jakarta Selatan","Negeri","76.0","2611.0","47309.0","1195.0","2"
"2013 s.d 2014","Jakarta Selatan","Swasta","134.0","2340.0","31349.0","1130.0","3"
"2013 s.d 2014","Jakarta Timur","Negeri","106.0","4034.0","71042.0","1644.0","4"
"2013 s.d 2014","Jakarta Timur","Swasta","151.0","2524.0","32053.0","1138.0","5"
"2013 s.d 2014","Jakarta Pusat","Negeri","39.0","1197.0","22347.0","644.0","6"
"2013 s.d 2014","Jakarta Pusat","Swasta","75.0","1270.0","17014.0","596.0","7"
"2013 s.d 2014","Jakarta Barat","Negeri","54.0","1897.0","36088.0","1780.0","8"
"2013 s.d 2014","Jakarta Barat","Swasta","192.0","2961.0","33980.0","1360.0","9"
"2013 s.d 2014","Jakarta Utara","Negeri","44.0","1523.0","26380.0","634.0","10"
"2013 s.d 2014","Jakarta Utara","Swasta","144.0","2274.0","26902.0","989.0","11"
