"tahun","nama_kabkota","jenis_sekolah","kelas","jumlah","id"
"2011","Kepulauan Seribu","Negeri","I","11","0"
"2011","Kepulauan Seribu","Negeri","II","4","1"
"2011","Kepulauan Seribu","Negeri","III","2","2"
"2011","Kepulauan Seribu","Swasta","I","0","3"
"2011","Kepulauan Seribu","Swasta","II","0","4"
"2011","Kepulauan Seribu","Swasta","III","0","5"
"2011","Jakarta Selatan","Negeri","I","17","6"
"2011","Jakarta Selatan","Negeri","II","22","7"
"2011","Jakarta Selatan","Negeri","III","0","8"
"2011","Jakarta Selatan","Swasta","I","57","9"
"2011","Jakarta Selatan","Swasta","II","64","10"
"2011","Jakarta Selatan","Swasta","III","25","11"
"2011","Jakarta Timur","Negeri","I","78","12"
"2011","Jakarta Timur","Negeri","II","19","13"
"2011","Jakarta Timur","Negeri","III","8","14"
"2011","Jakarta Timur","Swasta","I","41","15"
"2011","Jakarta Timur","Swasta","II","39","16"
"2011","Jakarta Timur","Swasta","III","24","17"
"2011","Jakarta Pusat","Negeri","I","61","18"
"2011","Jakarta Pusat","Negeri","II","42","19"
"2011","Jakarta Pusat","Negeri","III","9","20"
"2011","Jakarta Pusat","Swasta","I","14","21"
"2011","Jakarta Pusat","Swasta","II","13","22"
"2011","Jakarta Pusat","Swasta","III","13","23"
"2011","Jakarta Barat","Negeri","I","39","24"
"2011","Jakarta Barat","Negeri","II","36","25"
"2011","Jakarta Barat","Negeri","III","11","26"
"2011","Jakarta Barat","Swasta","I","23","27"
"2011","Jakarta Barat","Swasta","II","82","28"
"2011","Jakarta Barat","Swasta","III","13","29"
"2011","Jakarta Utara","Negeri","I","104","30"
"2011","Jakarta Utara","Negeri","II","75","31"
"2011","Jakarta Utara","Negeri","III","34","32"
"2011","Jakarta Utara","Swasta","I","30","33"
"2011","Jakarta Utara","Swasta","II","40","34"
"2011","Jakarta Utara","Swasta","III","20","35"
