"tahun","nama_kota_administrasi","jenis_sekolah","kelas","jumlah","id"
"2013 s.d 2014","Kepulauan Seribu","Negeri","I","1.0","0"
"2013 s.d 2014","Kepulauan Seribu","Negeri","II","4.0","1"
"2013 s.d 2014","Kepulauan Seribu","Negeri","III","0.0","2"
"2013 s.d 2014","Kepulauan Seribu","Swasta","I","0.0","3"
"2013 s.d 2014","Kepulauan Seribu","Swasta","II","0.0","4"
"2013 s.d 2014","Kepulauan Seribu","Swasta","III","0.0","5"
"2013 s.d 2014","Jakarta Selatan","Negeri","I","8.0","6"
"2013 s.d 2014","Jakarta Selatan","Negeri","II","19.0","7"
"2013 s.d 2014","Jakarta Selatan","Negeri","III","2.0","8"
"2013 s.d 2014","Jakarta Selatan","Swasta","I","42.0","9"
"2013 s.d 2014","Jakarta Selatan","Swasta","II","36.0","10"
"2013 s.d 2014","Jakarta Selatan","Swasta","III","16.0","11"
"2013 s.d 2014","Jakarta Timur","Negeri","I","8.0","12"
"2013 s.d 2014","Jakarta Timur","Negeri","II","11.0","13"
"2013 s.d 2014","Jakarta Timur","Negeri","III","2.0","14"
"2013 s.d 2014","Jakarta Timur","Swasta","I","38.0","15"
"2013 s.d 2014","Jakarta Timur","Swasta","II","35.0","16"
"2013 s.d 2014","Jakarta Timur","Swasta","III","27.0","17"
"2013 s.d 2014","Jakarta Pusat","Negeri","I","4.0","18"
"2013 s.d 2014","Jakarta Pusat","Negeri","II","4.0","19"
"2013 s.d 2014","Jakarta Pusat","Negeri","III","1.0","20"
"2013 s.d 2014","Jakarta Pusat","Swasta","I","0.0","21"
"2013 s.d 2014","Jakarta Pusat","Swasta","II","8.0","22"
"2013 s.d 2014","Jakarta Pusat","Swasta","III","6.0","23"
"2013 s.d 2014","Jakarta Barat","Negeri","I","38.0","24"
"2013 s.d 2014","Jakarta Barat","Negeri","II","39.0","25"
"2013 s.d 2014","Jakarta Barat","Negeri","III","2.0","26"
"2013 s.d 2014","Jakarta Barat","Swasta","I","36.0","27"
"2013 s.d 2014","Jakarta Barat","Swasta","II","39.0","28"
"2013 s.d 2014","Jakarta Barat","Swasta","III","13.0","29"
"2013 s.d 2014","Jakarta Utara","Negeri","I","16.0","30"
"2013 s.d 2014","Jakarta Utara","Negeri","II","11.0","31"
"2013 s.d 2014","Jakarta Utara","Negeri","III","6.0","32"
"2013 s.d 2014","Jakarta Utara","Swasta","I","19.0","33"
"2013 s.d 2014","Jakarta Utara","Swasta","II","32.0","34"
"2013 s.d 2014","Jakarta Utara","Swasta","III","29.0","35"
